,Student_Id,Sem,subject code,subject,subject_short,grade,credits
915,21pa1a6122,II B.Tech - II Semester,  20IT4T01,  Software Engineering, SE,A,3
916,21pa1a6122,II B.Tech - II Semester,  20CS4P02,  OS Lab, OS Lab,O,1.5
917,21pa1a6122,II B.Tech - II Semester,  20AM4P01,  Fundamentals of ArtificialIntelligence & MachineLearningLab, FAI&ML Lab,O,1.5
918,21pa1a6122,II B.Tech - II Semester,  20AD4P01,  Data Mining using Python Lab, DMP Lab,A,1.5
919,21pa1a6122,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,P,--
920,21pa1a6122,II B.Tech - II Semester,  20IT4P03,  Web Application Development Using Full Stack-Module - II, WADUFSM-II,O,2
921,21pa1a6122,II B.Tech - II Semester,  20AM4J01,  Community Service Project, CSP,O,4
922,21pa1a6122,II B.Tech - II Semester,  20HS4T01,  Universal Human Values II, UHV-II,O,3
923,21pa1a6122,II B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 9.06
924,21pa1a6123,I B.Tech - I Semester,  20BS1T01,  COMMUNICATIVE ENGLISH, CE,B,3
925,21pa1a6123,I B.Tech - I Semester,  20CS1T01,  COMPUTATIONAL THINKING & PROGRAMMING, CT&P,C,3
926,21pa1a6123,I B.Tech - I Semester,  20BS1T04,  APPLIED PHYSICS, AP,C,3
927,21pa1a6123,I B.Tech - I Semester,  20EE1T01,  ELEMENTS OF ELECTRICAL AND ELECTRONICS ENGINEERING, EEEE,D,3
928,21pa1a6123,I B.Tech - I Semester,  20BS1T02,  MATHEMATICS-I (LINEAR ALGEBRA & CALCULUS), M-I,B,3
929,21pa1a6123,I B.Tech - I Semester,  20CS1P01,  COMPUTATIONAL THINKING & PROGRAMMING LAB, CT&P Lab,A,1.5
930,21pa1a6123,I B.Tech - I Semester,  20BS1P04,  APPLIED PHYSICS LAB, AP Lab,O,1.5
931,21pa1a6123,I B.Tech - I Semester,  20BS1P01,  ENGLISH COMMUNICATION SKILLS LAB, ECS Lab,O,1.5
932,21pa1a6123,I B.Tech - I Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 6.92
933,21pa1a6123,I B.Tech - II Semester,  20BS2T01,  MATHEMATICS-II (VECTOR CALCULUS & TRANSFORM CALCULUS), M-II,D,3
934,21pa1a6123,I B.Tech - II Semester,  20IT2T01,  PROGRAMMING FOR PROBLEM SOLVING, PPS,C,3
935,21pa1a6123,I B.Tech - II Semester,  20BS2T04,  APPLIED CHEMISTRY, AC,D,3
936,21pa1a6123,I B.Tech - II Semester,  20BS2T07,  ENVIRONMENTAL SCIENCE, ES,P,--
937,21pa1a6123,I B.Tech - II Semester,  20EC2T02,  DIGITAL LOGIC DESIGN, DLD,B,3
938,21pa1a6123,I B.Tech - II Semester,  20IT2P01,  PROGRAMMING FOR PROBLEM SOLVING LAB, PPS LAB,S,1.5
939,21pa1a6123,I B.Tech - II Semester,  20CS2P03,  COMPUTER ENGINEERING WORKSHOP LAB, CEW LAB,S,3
940,21pa1a6123,I B.Tech - II Semester,  20CS2P04,  ADVANCED PYTHON PROGRAMMING LAB, APP LAB,O,1.5
941,21pa1a6123,I B.Tech - II Semester,  20BS2P03,  APPLIED CHEMISTRY LAB, AC LAB,S,1.5
942,21pa1a6123,I B.Tech - II Semester,0,0,0,0,Semester Grade Point Average(SGPA) : 7.08
943,21pa1a6123,II B.Tech - I Semester,  20IT3T01,  Database Management Systems, DBMS,B,3
944,21pa1a6123,II B.Tech - I Semester,  20IT3T02,  Object Oriented Programming through Java, OOPthJAVA,B,3
945,21pa1a6123,II B.Tech - I Semester,  20BS3T02,  Probability & Statistics, P & S,D,3
946,21pa1a6123,II B.Tech - I Semester,  20BS3A01,  Constitution of India, COI,P,--
947,21pa1a6123,II B.Tech - I Semester,  20IT3P02,  Object Oriented Programming through Java Lab, OOP th Java Lab,O,1.5
948,21pa1a6123,II B.Tech - I Semester,  20BS3T04,  Discrete Mathematical Structures, DMS,C,3
949,21pa1a6123,II B.Tech - I Semester,  20IT3P01,  Database Management Systems Lab, DBMS Lab,O,1.5
950,21pa1a6123,II B.Tech - I Semester,  20CS3T01,  Data Structures, DS,F,0
951,21pa1a6123,II B.Tech - I Semester,  20CS3P01,  Data Structures Lab, DS Lab,S,1.5
952,21pa1a6123,II B.Tech - I Semester,  20CS3P02,  Web Application Development Using Full Stack - Module - I, WADUFSM-I,S,2
953,21pa1a6123,II B.Tech - I Semester,0,0,0,0,Estimated Semester Grade Point Average(SGPA) : 7.38
954,21pa1a6123,II B.Tech - II Semester,  20CS4T02,  Operating Systems, OS,C,3
955,21pa1a6123,II B.Tech - II Semester,  20AD4T01,  Data warehousing and Mining, DWH&M,B,3
956,21pa1a6123,II B.Tech - II Semester,  20AM4T01,  Fundamentals of ArtificialIntelligence & MachineLearning, FAI&ML,A,3
957,21pa1a6123,II B.Tech - II Semester,  20IT4T01,  Software Engineering, SE,C,3
958,21pa1a6123,II B.Tech - II Semester,  20CS4P02,  OS Lab, OS Lab,O,1.5
959,21pa1a6123,II B.Tech - II Semester,  20AM4P01,  Fundamentals of ArtificialIntelligence & MachineLearningLab, FAI&ML Lab,S,1.5
960,21pa1a6123,II B.Tech - II Semester,  20AD4P01,  Data Mining using Python Lab, DMP Lab,B,1.5
961,21pa1a6123,II B.Tech - II Semester,  20HS4A01,  Critical Reading and Creative Writing, CR&CW,F,0
962,21pa1a6123,II B.Tech - II Semester,  20IT4P03,  Web Application Development Using Full Stack-Module - II, WADUFSM-II,S,2
963,21pa1a6123,II B.Tech - II Semester,  20AM4J01,  Community Service Project, CSP,S,4
964,21pa1a6123,II B.Tech - II Semester,  20HS4T01,  Universal Human Values II, UHV-II,B,3
965,21pa1a6123,II B.Tech - II Semester,0,0,0,0,Estimated Semester Grade Point Average(SGPA) : 7.65
966,21pa1a6124,I B.Tech - I Semester,  20BS1T01,  COMMUNICATIVE ENGLISH, CE,S,3
967,21pa1a6124,I B.Tech - I Semester,  20CS1T01,  COMPUTATIONAL THINKING & PROGRAMMING, CT&P,C,3
968,21pa1a6124,I B.Tech - I Semester,  20BS1T04,  APPLIED PHYSICS, AP,C,3
969,21pa1a6124,I B.Tech - I Semester,  20EE1T01,  ELEMENTS OF ELECTRICAL AND ELECTRONICS ENGINEERING, EEEE,C,3
970,21pa1a6124,I B.Tech - I Semester,  20BS1T02,  MATHEMATICS-I (LINEAR ALGEBRA & CALCULUS), M-I,C,3
971,21pa1a6124,I B.Tech - I Semester,  20CS1P01,  COMPUTATIONAL THINKING & PROGRAMMING LAB, CT&P Lab,S,1.5
972,21pa1a6124,I B.Tech - I Semester,  20BS1P04,  APPLIED PHYSICS LAB, AP Lab,A,1.5
973,21pa1a6124,I B.Tech - I Semester,  20BS1P01,  ENGLISH COMMUNICATION SKILLS LAB, ECS Lab,O,1.5
